Store,MAPE,MAE
1,3.61,57098.0473
2,3.53,67412.4206
3,4.17,17674.7986
4,3.37,71679.6607
5,3.18,10315.7569
6,3.49,55809.5223
7,7.3999999999999995,43552.008
8,2.8000000000000003,25563.0588
9,4.55,24817.2102
10,3.1199999999999997,55125.9152
11,3.2800000000000002,43778.6404
12,3.5900000000000003,34506.0037
13,2.65,54548.2185
14,13.81,224063.5834
15,3.9,23894.702
16,6.63,36001.4578
17,3.92,38559.9445
18,5.67,59955.8745
19,3.36,47374.5622
20,3.7199999999999998,79091.6578
21,6.0600000000000005,41809.8484
22,3.0700000000000003,31573.8164
23,4.38,63320.2884
24,4.21,60292.1901
25,3.91,27683.42
26,2.8000000000000003,30258.3278
27,2.97,52311.0496
28,7.85,99914.3666
29,4.83,24849.979
30,2.36,10184.3609
31,3.49,47630.1139
32,2.62,30919.7775
33,5.7299999999999995,15587.631
34,2.58,25045.5705
35,11.89,103636.9497
36,4.32,13030.4862
37,1.9900000000000002,10429.1225
38,6.370000000000001,26869.5666
39,2.9000000000000004,45695.0231
40,4.41,45402.0353
41,2.42,33983.9395
42,8.33,45000.006
43,7.21,43506.1184
44,2.34,8080.74
45,2.79,21051.619
